id,description,latitude,longitude,name,categories,prefecture,address
16731,,38.30705643,21.79151726,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΛΑΤΑΝΙΩΝ ΡΟΔΟΥ,60,18,ΠΛΑΤΑΝΙ ΡΟΔΟΥ
16732,,40.47560501,25.49890327,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΛΩΝΙΩΝ ΣΑΜ/ΚΗΣ ΑΛΕΞ/ΠΟΛ,60,25,ΑΛΩΝΙΑ ΣΑΜΟΘΡΑΚΗΣ
16733,,40.47454453,25.47746468,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΜΑΡΙΩΤΙΣΣΗΣ ΣΑΜΟΘΡΑΚΗΣ,60,25,ΚΑΜΑΡΙΩΤΙΣΣΑ ΣΑΜΟΘΡΑΚΗΣ
16734,,40.47135925,25.52549553,ΝΗΠΙΑΓΩΓΕΙΟ ΧΩΡΑΣ ΣΑΜΟΘΡΑΚΗΣ,60,25,ΧΩΡΑ ΣΑΜΟΘΡΑΚΗΣ
16735,,40.47145081,25.52558517,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΩΡΑΣ ΣΑΜ/ΚΗΣ ΑΛΕΞ/ΠΟΛΗΣ,60,25,ΧΩΡΑ ΣΑΜΟΘΡΑΚΗΣ
16736,,41.3463974,26.49393272,4ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΙΔΥΜΟΤΕΙΧΟΥ,60,25,ΠΟΛΥΤΕΧΝΕΙΟΥ
16737,,40.85196304,25.88574219,12ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,60,25,ΠΑΠΑΔΙΑΜΑΝΤΗ ΚΑΙ ΑΛΚΙΒΙΑΔΗ
16738,,38.95288086,23.15066528,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ ΙΣΤΙΑΙΑΣ,60,6,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ
16739,,38.95313644,23.1506424,1ο ΝΗΠΙΑΓΩΓΕΙΟ ΙΣΤΙΑΙΑΣ,60,6,ΚΩΝΣΤΑΝΤΙΝΟΥ ΣΚΙΑΔΑ
16740,,38.95314026,23.15063667,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΙΣΤΙΑΙΑΣ,60,6,ΙΣΤΙΑΙΑ
16741,,38.95314407,23.15063477,2ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΙΣΤΙΑΙΑΣ,60,6,ΙΣΤΙΑΙΑ
16742,,38.95302582,23.15061569,ΝΗΠΙΑΓΩΓΕΙΟ ΣΙΝΑΣΟΥ ΙΣΤΙΑΙΑΣ,60,6,ΣΙΝΑΣΟΣ
16743,,38.95277786,23.15076447,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΙΝΑΣΟΥ ΙΣΤΙΑΙΑΣ,60,6,ΣΙΝΑΣΟΣ
16744,,38.87950516,23.046381,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΙΔΗΨΟΥ ΙΣΤΙΑΙΑΣ,60,6,ΑΙΔΗΨΟΣ
16745,,38.8579216,23.04570961,ΝΗΠΙΑΓΩΓΕΙΟ ΑΙΔΗΨΟΥ ΙΣΤΙΑΙΑΣ,60,6,ΑΙΔΗΨΟΣ
16746,,38.86265182,22.97706413,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΙΑΛΤΡΩΝ ΑΙΔΗΨΟΥ,60,6,ΓΙΑΛΤΡΑ ΑΙΔΗΨΟΥ
16747,,38.95248795,23.15283966,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΗΛΙΩΝ ΙΣΤΙΑΙΑΣ,60,6,ΗΛΙΑ  ΑΙΔΗΨΟΥ
16748,,38.85670853,23.04379272,1ο 2/θ ΟΛΟΗΜΕΡΟ ΝΗΠΙΑΓΩΓΕΙΟ ΛΟΥΤΡΩΝ ΑΙΔΗΨΟΥ,60,6,ΘΕΡΜΟΠΟΤΑΜΟΥ
16749,,38.85463715,23.04694939,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΟΥΤΡΩΝ ΑΙΔΗΨΟΥ ΙΣΤΙΑΙΑΣ,60,6,25ης ΜΑΡΤΙΟΥ
16750,,38.95845795,23.2956543,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΔΙΝΩΝ ΙΣΤΙΑΙΑΣ,60,6,ΑΓΔΙΝΑ
16751,,38.87327957,23.06193542,ΝΗΠΙΑΓΩΓΕΙΟ ΑΓΙΟΥ ΙΣΤΙΑΙΑΣ,60,6,ΑΓΙΟΣ ΛΟΥΤΡΩΝ ΑΙΔΗΨΟΥ
16752,,38.39751816,23.62112617,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΦΑΡΟΥ ΑΥΛΙΔΑΣ,60,6,ΦΑΡΟΣ ΑΥΛΙΔΑΣ
16753,,38.38813782,23.59775352,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΛΟΧΩΡΙΟΥ-ΠΑΝΤΕΙΧΙΟΥ,60,6,ΚΑΛΟΧΩΡΙ-ΠΑΝΤΕΙΧΙ
16754,,38.95313263,23.15063477,2ο ΝΗΠΙΑΓΩΓΕΙΟ ΙΣΤΙΑΙΑΣ,60,6,ΙΣΤΙΑΙΑ
16755,,38.89133072,21.86474419,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ ΕΥΡΥΤΑΝΙΑΣ,60,29,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
16756,,39.13652039,21.65201569,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΡΑΦΩΝ ΕΥΡΥΤΑΝΙΑΣ,60,29,ΑΓΡΑΦΑ ΕΥΡΥΤΑΝΙΑΣ
16757,,38.98669434,21.68857193,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΙΝΙΑΝΗΣ ΕΥΡΥΤΑΝΙΑΣ,60,29,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΙΝΙΑΝΗΣ
16758,,37.67254257,21.44248581,6ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΥΡΓΟΥ,60,28,ΠΑΡΟΔΟΣ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ
16759,,37.67699814,21.43581963,8ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΥΡΓΟΥ,60,28,ΛΑΜΠΕΤΙ
16760,,37.67830276,21.38785172,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΟΥ ΠΥΡΓΟΥ,60,28,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΠΥΡΓΟΥ
16761,,37.60827637,21.60578537,ΝΗΠΙΑΓΩΓΕΙΟ ΜΑΚΡΙΣΙΩΝ ΟΛΥΜΠΙΑΣ,60,28,ΜΑΚΡΙΣΙΑ
16762,,37.49054337,21.82309532,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΥΡΩΝΙΩΝ ΟΛΥΜΠΙΑΣ,60,28,ΜΥΡΩΝΙΑ
16763,,37.51424026,21.60022354,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΙΑΦΑ ΟΛΥΜΠΙΑΣ,60,28,ΚΑΪΑΦΑΣ
16764,,37.88808823,21.50930977,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΕΛΑΝΙΔΙΟΥ ΑΜΑΛΙΑΔΑΣ,60,28,ΒΕΛΑΝΙΔΙ
16765,,38.03206635,21.3640213,1ο ΝΗΠΙΑΓΩΓΕΙΟ ΒΑΡΔΑΣ ΛΕΧΑΙΝΩΝ,60,28,ΒΑΡΔΑ
16766,,38.03166962,21.36420059,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΑΡΔΑΣ ΛΕΧΑΙΝΩΝ,60,28,ΒΑΡΔΑ
16767,,38.02361298,21.3880558,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΨΑΡΙ ΛΕΧΑΙΝΩΝ,60,28,ΨΑΡΙ
16768,,37.87586975,21.26640892,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΒΑΣΙΛΩΝ ΛΕΧΑΙΝΩΝ,60,28,ΚΑΒΑΣΙΛΑΣ
16769,,37.99593353,21.36281776,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΠΕΛΕΤΟΥ ΛΕΧΑΙΝΩΝ,60,28,ΚΑΠΕΛΕΤΟ
16770,,37.89015579,21.13954353,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΣΤΡΟΥ ΛΕΧΑΙΝΩΝ,60,28,ΚΑΣΤΡΟ
16771,,37.9275856,21.14694786,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΩ ΠΑΝΑΓΙΟΥ ΛΕΧΑΙΝΩΝ,60,28,ΚΑΤΩ ΠΑΝΑΓΙΑ
16772,,37.89715195,21.44800758,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΕΝΤΡΟΥ,60,28,ΚΕΝΤΡΟ
16773,,37.96546173,21.32897568,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΟΥΡΤΕΣΙΟΥ,60,28,ΚΟΥΡΤΕΣΙ
16774,,37.96547318,21.32898521,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΝΩ ΚΟΥΡΤΕΣΙΟΥ ΛΕΧΑΙΝΩΝ,60,28,ΑΝΩ ΚΟΥΡΤΕΣΙ
16775,,37.93230057,21.1441021,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΥΛΛΗΝΗΣ ΛΕΧΑΙΝΩΝ,60,28,ΚΥΛΛΗΝΗ
16776,,37.86099243,21.20624161,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΦΑΣ ΛΕΧΑΙΝΩΝ,60,28,ΓΛΥΦΑ
16777,,37.85784912,21.15636063,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΥΓΙΑΣ ΛΕΧΑΙΝΩΝ,60,28,ΛΥΓΙΑ
16778,,38.04607773,21.34894753,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΝΟΛΑΔΑΣ ΛΕΧΑΙΝΩΝ,60,28,ΣΑΚΗ ΒΑΛΟΓΙΑΝΝΗ
16779,,37.92099762,21.23716164,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΥΡΣΙΝΗΣ ΛΕΧΑΙΝΩΝ,60,28,ΕΙΚΟΣΙ ΟΧΤΩ ΟΚΤΩΒΡΙΟΥ
16780,,38.01709366,21.41737366,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΠΟΛΗΣ ΛΕΧΑΙΝΩΝ,60,28,ΝΕΑΠΟΛΗ
16781,,38.05218887,21.38499069,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΑΣ ΜΑΝΟΛΑΔΑΣ ΛΕΧΑΙΝΩΝ,60,28,ΝΕΑ ΜΑΝΟΛΑΔΑ
16782,,38.05239868,21.38484001,ΝΗΠΙΑΓΩΓΕΙΟ ΝΕΑΣ ΜΑΝΟΛΑΔΑΣ ΛΕΧΑΙΝΩΝ,60,28,Ν.ΜΑΝΟΛΑΔΑ
16783,,37.90520859,21.20441246,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΝΕΟΧΩΡΙΟΥ ΛΕΧΑΙΝΩΝ,60,28,ΝΕΟΧΩΡΙ
16784,,37.66986465,21.42575455,1ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΥΡΓΟΥ,60,28,ΠΑΠΑΦΛΕΣΣΑ ΤΕΡΜΑ
16785,,37.67254257,21.44248581,11ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΥΡΓΟΥ,60,28,ΠΟΣΕΙΔΩΝΟΣ ΤΕΡΜΑ
16786,,37.67064285,21.44741821,3ο ΝΗΠΙΑΓΩΓΕΙΟ ΠΥΡΓΟΥ,60,28,ΟΛΥΜΠΙΩΝ
16787,,37.66519547,21.43977356,3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΥΡΓΟΥ,60,28,ΡΟΦΙΑ
16788,,37.67254257,21.44248581,5ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΥΡΓΟΥ,60,28,ΠΑΡΟΔΟΣ ΛΑΜΠΕΤΙΟΥ
16789,,37.67060471,21.44740295,7ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΥΡΓΟΥ,60,28,ΟΛΥΜΠΙΩΝ
16790,,37.67834473,21.44031334,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ ΠΥΡΓΟΥ ΠΥΡΓΟΥ,60,28,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ
16791,,37.82088852,21.6229496,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΝΑΝΤΩΝ,60,28,ΑΓΝΑΝΤΑ
16792,,37.73323822,21.37566376,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΛΠΟΧΩΡΙΟΥ ΠΥΡΓΟΥ,60,28,ΑΛΠΟΧΩΡΙ
16793,,37.73782349,21.39057922,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΧΑΝΑΚΙΩΝ ΠΥΡΓΟΥ,60,28,ΧΑΝΑΚΙΑ
16794,,37.72725677,21.46613693,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΜΠΕΛΩΝΟΣ ΠΥΡΓΟΥ,60,28,ΑΜΠΕΛΩΝΑΣ
16795,,37.801754,21.7194252,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΝΤΡΩΝΙΟΥ ΠΥΡΓΟΥ,60,28,ΑΝΤΡΩΝΙ
16796,,37.8187561,21.69265747,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΝΟΠΟΥΛΟΥ ΠΥΡΓΟΥ,60,28,ΠΑΝΟΠΟΥΛΟ
16797,,37.72156143,21.52364159,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΡΒΑΝΙΤΗ ΠΥΡΓΟΥ,60,28,ΑΡΒΑΝΙΤΗ
16798,,37.7399559,21.45339775,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΒΡΟΧΙΤΣΑΣ,60,28,ΒΡΟΧΙΤΣΑ
